Part,Quantity,Description
Carlon 8x8x4 junction box,1,Box
Aleko 10 W,1,Solar panel
Sungard sg-4,1,Charge Controller
ps-1270 12 v 7 ah,1,Battery
TEC 1487586-3,1,USB a-b cable
Molex 105263-0003,1,cell antenna
SDSDQ-008G-AFFP,1,8 GB sd card
Bud NG-9513,2,Cable glands
NBX-10910,1,Air/moisture vent
Standoffs 1in,4,Standoffs 1in
standoffs 7mm,3,standoffs 7mm
